Timp,Nivel de oxigen,Puls cardiac,Mişcare,Memento O2,Memento PR
18:59:36 Dec 16 2025,97,84,0,0,0
18:59:38 Dec 16 2025,97,84,0,0,0
18:59:40 Dec 16 2025,97,85,2,0,0
18:59:42 Dec 16 2025,97,82,0,0,0
18:59:44 Dec 16 2025,97,82,2,0,0
18:59:46 Dec 16 2025,98,82,0,0,0
18:59:48 Dec 16 2025,98,81,0,0,0
18:59:50 Dec 16 2025,98,82,0,0,0
18:59:52 Dec 16 2025,98,82,1,0,0
18:59:54 Dec 16 2025,98,82,1,0,0
18:59:56 Dec 16 2025,98,82,0,0,0
18:59:58 Dec 16 2025,98,82,1,0,0
19:00:00 Dec 16 2025,98,84,0,0,0
19:00:02 Dec 16 2025,97,85,2,0,0
19:00:04 Dec 16 2025,97,85,2,0,0
19:00:06 Dec 16 2025,97,85,17,0,0
19:00:08 Dec 16 2025,97,85,9,0,0
19:00:10 Dec 16 2025,97,85,7,0,0
19:00:12 Dec 16 2025,97,85,1,0,0
19:00:14 Dec 16 2025,97,85,1,0,0
19:00:16 Dec 16 2025,97,85,0,0,0
19:00:18 Dec 16 2025,97,85,0,0,0
19:00:20 Dec 16 2025,97,85,1,0,0
19:00:22 Dec 16 2025,97,85,1,0,0
19:00:24 Dec 16 2025,97,85,4,0,0
19:00:26 Dec 16 2025,97,85,7,0,0
19:00:28 Dec 16 2025,97,85,4,0,0
19:00:30 Dec 16 2025,97,85,5,0,0
19:00:32 Dec 16 2025,97,85,1,0,0
19:00:34 Dec 16 2025,97,85,1,0,0
19:00:36 Dec 16 2025,97,86,1,0,0
19:00:38 Dec 16 2025,97,86,6,0,0
19:00:40 Dec 16 2025,97,86,1,0,0
